episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,1000,200981,400981,600680,800440,1000101,1200101,1400009,1600009,1799330,1999330,2199330,2399330,2599330,2799330,2999330,3199330,3399330,3599330,3799330,3999330,4199330,4399330,4599073,4798093,4998093,5198093,5398093,5598093,5797486,5997486,6197247,6397247,6597247,6797137,6997137,7197137,7397137,7597137,7797137,7997137,8197137,8397137,8597137,8797137,8996513,9195996,9395996,9595777,9795777,9995031,10194747,10394747,10594747,10794004,10994004,11193099,11392403,11592403,11791499,11991499,12191494,12391494,12591081,12790158,12990158,13190158,13390158,13590158,13789341,13988913,14188913
eval_rew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_rew,-27067.636013969863,-27141.646986983345,-27154.702065665144,-27085.655260452142,-27089.568280422332,-27078.794757064865,-27209.94228607739,-27125.72612050496,-27120.750542570775,-27027.913113261573,-27132.226271011772,-27117.037292590914,-27121.630700642138,-27109.443538305797,-27117.015904650994,-27178.608213809923,-27163.13436224036,-27113.0285532394,-27130.9231415854,-27130.55084143848,-27123.794115870678,-27136.446916781388,-27145.60909620285,-27099.82471624976,-27049.0042669899,-27136.025186618575,-27117.482211793445,-27152.617010228172,-27141.416724748527,-27052.024563343064,-27139.357711119774,-27099.473599533478,-27128.1343446663,-27118.092402336133,-27115.69592916485,-27145.77477037127,-27134.430754514997,-27110.67920984486,-27180.238090403625,-27149.515255350998,-27128.420973487893,-27156.164871044046,-27120.173590075956,-27185.94136338921,-27143.3974846389,-27036.98122130363,-27076.43920966117,-27152.071314285728,-27102.684124362673,-27136.82289389747,-27076.34120452909,-27078.550510803703,-27130.555315953894,-27123.71284832878,-27039.951969672842,-27127.27851423149,-26992.29828672728,-27076.72922472415,-27147.22893702781,-27007.00196831389,-27149.374495903194,-27135.61603570151,-27140.84282494095,-27087.920655387526,-27024.344064865596,-27129.58131271205,-27152.37782796177,-27114.745703010452,-27129.56260166109,-27034.649813654272,-27069.89499481408,-27128.988056209702
level,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
count_id,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,9,14,14,14
norm_ent 0,0.9798617755720856,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376,0.9968039477476376
norm_ent 1,0.9630600577963975,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122,0.9976945235833122
norm_ent 2,0.9684053634999744,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309,0.9979849715099309
norm_ent 3,0.9723974494612612,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634,0.9965664199447634
norm_ent 4,0.5445614039482313,0.617792629467757,0.6141191810333076,0.614763991093913,0.6123866305892833,0.6085892905128041,0.6102376644070757,0.6088671279998178,0.606229420002806,0.6058232177736791,0.6064031863532939,0.6048170602528125,0.6046658314869304,0.6049016704092873,0.6047019561110578,0.6053148419685095,0.6063108123242514,0.6059025829951694,0.6053842950670956,0.6046093030414501,0.6048410132079337,0.6049763699319706,0.6050269063202088,0.6051288243481651,0.6051206256223797,0.6053737913481919,0.6051459613335828,0.6046693217704484,0.6043758286892943,0.6051751954175095,0.6055082408068952,0.6052240611151253,0.6052715398738892,0.6052727181086407,0.6048902123615979,0.6053029990200611,0.6050460331261519,0.6043970417483012,0.6048610941161846,0.6050711053950298,0.6049062271566359,0.6051325204811727,0.6049087538129989,0.6052417835579035,0.6053666906962434,0.6050250769004863,0.6049837850305594,0.6049967047136836,0.6051946090596494,0.6053533720659047,0.6057473837676179,0.6057591661502402,0.6060509917618667,0.605900995751475,0.6055046156505876,0.6054074524685024,0.6057424478975393,0.6054888030240222,0.6056274402935522,0.6057655361620095,0.6059931524661217,0.6061931548166233,0.6062336706306111,0.6066593316977354,0.6067920767605022,0.6067858926595905,0.606758692585143,0.6067294334546569,0.6068331768124321,0.6067007339510515,0.6066990390970003,0.6066056670353338
