,q_learner1_loss,q_learner2_loss,q_learner_target1_loss,q_learner_target2_loss
0,20521.1875,619.9505615234375,28155.623046875,16039.546875
1,589.0687255859375,6653.2958984375,28597.763671875,41281.69140625
2,74700.53125,252.64990234375,32976.09375,8694.6220703125
3,72210.578125,855.1103515625,33863.41796875,23215.68359375
4,80715.125,5249.1025390625,25210.216796875,72683.5
5,72832.609375,6970.3974609375,16861.6015625,49951.76171875
6,61868.59375,107.744873046875,24894.943359375,61373.8125
7,65365.74609375,1501.453125,8556.80859375,50479.79296875
8,7693.890625,476.5419921875,17550.763671875,65178.86328125
9,48738.20703125,1376.7431640625,25026.529296875,4021.06591796875
10,49974.5,6647.2373046875,42923.73046875,26253.234375
11,26358.033203125,3438.21337890625,40844.875,78035.1875
12,73875.046875,3030.173828125,46722.69140625,2312.064453125
13,81341.265625,3971.4248046875,17910.69921875,3497.74072265625
14,63016.89453125,2701.166015625,4618.47509765625,66980.6171875
15,78069.5625,7966.0908203125,39216.26953125,59412.97265625
16,36557.0625,2907.044921875,14906.0361328125,15279.4794921875
17,33683.65234375,10347.2734375,23718.6640625,49721.57421875
18,73354.6328125,11517.470703125,3383.503173828125,48197.38671875
19,45057.3359375,174.312744140625,7958.64697265625,77282.96875
20,74947.140625,6352.099609375,19941.28515625,9935.2548828125
21,81082.8125,2277.693359375,16851.20703125,13557.20703125
22,76859.5234375,8291.140625,630.2682495117188,55945.046875
23,11475.6982421875,2140.525390625,1883.1275634765625,42955.3515625
24,78192.4609375,2662.5146484375,39531.47265625,23468.189453125
25,71742.6484375,2143.228515625,29781.791015625,38029.79296875
26,44098.51171875,92.8095703125,24530.5859375,38600.4921875
27,1423.8067626953125,1688.58984375,24701.01171875,57418.890625
28,31230.70703125,8543.52734375,24135.71875,8640.123046875
29,7480.26904296875,46.11328125,18275.341796875,4843.19482421875
30,83526.015625,7189.3583984375,23506.560546875,55022.95703125
31,27646.1953125,1975.583984375,43952.890625,4974.66748046875
32,82523.5703125,8531.4052734375,45749.30859375,6031.6455078125
33,50366.0703125,337.00537109375,35427.953125,47634.6484375
34,9709.38671875,3300.2734375,43409.79296875,70934.8828125
35,80051.90625,2227.654296875,15511.5595703125,49562.49609375
36,11579.0634765625,733.03369140625,17921.841796875,75460.0625
37,9398.9375,1009.0242919921875,22028.400390625,19407.966796875
38,57393.2421875,706.005859375,46626.47265625,43249.515625
39,2174.880859375,323.43798828125,43572.9765625,18738.498046875
40,48754.13671875,3005.046875,40735.0390625,77454.78125
41,73536.890625,945.492919921875,10100.2666015625,46250.5625
42,78080.7421875,1897.0361328125,43399.625,758.5436401367188
43,59454.94921875,1657.534423828125,3805.81640625,40451.98046875
44,62625.4453125,3426.84375,3029.687255859375,11683.2490234375
45,5414.3076171875,5797.5087890625,7380.01123046875,11341.23046875
46,13475.0556640625,1088.9599609375,24194.806640625,27925.609375
47,18052.41796875,3892.26953125,5640.361328125,20980.123046875
48,1501.5252685546875,4540.65234375,46133.08203125,950.9898681640625
49,21471.265625,2972.93017578125,44021.44140625,76092.828125
50,2778.463623046875,8605.6962890625,7459.00830078125,5549.01953125
51,5086.59033203125,611.9813232421875,12999.4892578125,10352.328125
52,15599.955078125,15.6654052734375,24503.73046875,58388.00390625
53,26416.443359375,6850.35546875,18237.103515625,52388.4765625
54,61540.578125,654.8018798828125,40618.765625,40920.7890625
55,5283.9658203125,290.75830078125,12987.751953125,73720.3359375
56,27219.736328125,14449.0986328125,41104.91015625,51417.453125
57,337.58392333984375,657.27734375,10259.2509765625,62685.796875
58,76693.1875,1739.4072265625,22603.708984375,26481.875
59,78323.046875,10466.9853515625,19751.69140625,6881.5546875
60,24151.44140625,4209.703125,15156.5361328125,13772.4287109375
61,72396.9921875,732.99755859375,18944.484375,20630.947265625
62,79771.140625,1114.92431640625,39934.4453125,50105.0546875
63,23983.314453125,1106.861328125,18320.091796875,76957.296875
64,59785.796875,2880.6728515625,42805.7578125,76412.203125
65,56567.359375,399.4228515625,2246.21533203125,47895.140625
66,20256.572265625,2155.484375,38727.78125,41022.546875
67,25654.525390625,3650.3515625,46409.75390625,29804.89453125
68,6132.740234375,1371.4951171875,39195.1484375,54739.59375
69,73386.2734375,8864.2705078125,34365.72265625,75741.8984375
70,23393.08203125,3137.98046875,39311.19140625,20409.923828125
71,43285.703125,1520.605712890625,5302.54931640625,79627.890625
72,5953.33642578125,6987.302734375,8467.294921875,25792.828125
73,44050.08203125,1545.2421875,2208.71533203125,73035.5625
74,71646.3828125,3672.279296875,38395.0859375,38417.58203125
75,58656.0,1039.748046875,32150.50390625,172.6038055419922
76,26456.640625,1897.1171875,35774.4765625,54019.93359375
77,72466.234375,2051.92822265625,11104.912109375,69301.4765625
78,34573.06640625,1552.005859375,28599.1875,28089.1171875
79,941.8214111328125,990.32421875,39697.1953125,55499.80078125
80,39038.4765625,408.55029296875,5285.64501953125,63038.09375
81,79061.2421875,2992.40234375,18825.03125,47078.8828125
82,4215.310546875,8196.169921875,13344.2412109375,4951.310546875
83,60901.421875,1382.31201171875,35829.046875,38172.328125
84,15522.068359375,46.790924072265625,43660.96875,23718.21875
85,40815.6484375,788.135986328125,12932.5361328125,17590.029296875
86,26569.234375,2335.3212890625,30548.16796875,46416.7109375
87,35592.94140625,2065.73828125,41834.078125,49189.06640625
88,81996.3125,3876.302734375,3664.39794921875,4440.6728515625
89,2645.3896484375,9417.5322265625,623.82470703125,27320.189453125
90,15638.193359375,520.15234375,44528.98046875,3528.48828125
91,33546.27734375,271.00079345703125,20332.771484375,42194.3046875
92,39321.0625,648.1904296875,23731.84375,23419.265625
93,32208.93359375,386.34967041015625,36198.125,34169.75390625
94,9429.8671875,9974.798828125,14283.8125,23696.52734375
95,16201.08203125,377.103515625,29486.7109375,72444.2421875
96,81411.453125,1380.400390625,42871.48046875,21975.21484375
97,40076.53125,35.2874755859375,11379.2177734375,1557.61083984375
98,1437.925048828125,4198.0498046875,15621.7744140625,19153.4453125
99,4591.78759765625,467.8369140625,45472.8359375,78897.40625
