,q_learner1_loss,q_learner2_loss,q_learner_target1_loss,q_learner_target2_loss
0,16118.2734375,173.577392578125,36475.609375,0.0
1,462.91229248046875,1949.669921875,37049.265625,0.0
2,58669.51953125,112.42724609375,42722.0546875,0.0
3,56713.26171875,1157.2861328125,43872.43359375,0.0
4,63392.10546875,305.0615234375,32663.583984375,0.0
5,57200.5234375,1678.9189453125,21849.306640625,0.0
6,48588.7421875,110.203125,32256.94921875,0.0
7,51334.765625,1501.544921875,11092.6943359375,0.0
8,6038.58447265625,177.46969604492188,22744.787109375,0.0
9,38274.20703125,683.57421875,32430.142578125,0.0
10,39244.55859375,3346.5849609375,55615.890625,0.0
11,20695.515625,1001.355224609375,52923.75,0.0
12,58014.81640625,1120.08740234375,60539.0625,0.0
13,63878.17578125,541.802734375,23215.66796875,0.0
14,49485.5546875,1129.76953125,5997.2353515625,0.0
15,61307.3125,2248.2001953125,50817.703125,0.0
16,28702.73046875,426.921630859375,19326.09375,0.0
17,26445.29296875,3679.1328125,30743.291015625,0.0
18,57602.33203125,3806.736328125,4401.130859375,0.0
19,35376.99609375,72.918212890625,10328.890625,0.0
20,58851.91015625,3279.837890625,25852.724609375,0.0
21,63670.2421875,345.72705078125,21850.67578125,0.0
22,60352.68359375,2240.123046875,863.35302734375,0.0
23,8999.5234375,532.501953125,2473.953125,0.0
24,61398.34375,1400.6083984375,51234.6171875,0.0
25,56332.0390625,832.96142578125,38605.421875,0.0
26,34619.66796875,14.050140380859375,31803.7578125,0.0
27,1123.11962890625,827.0771484375,32025.513671875,0.0
28,24512.091796875,2584.6748046875,31294.21875,0.0
29,5857.8740234375,127.650634765625,23703.39453125,0.0
30,65583.7265625,2663.72119140625,30481.10546875,0.0
31,21695.072265625,811.9599609375,56969.203125,0.0
32,64795.21875,4049.07421875,59297.37109375,0.0
33,39538.14453125,135.8431396484375,45927.6015625,0.0
34,7605.77294921875,1981.33984375,56268.6171875,0.0
35,62852.30859375,1082.22216796875,20129.015625,0.0
36,9073.0478515625,820.36083984375,23252.4296875,0.0
37,7360.1826171875,406.22479248046875,28573.26953125,0.0
38,45054.3984375,870.7099609375,60439.6875,0.0
39,1711.78759765625,203.30126953125,56485.078125,0.0
40,38268.09375,2264.44921875,52809.703125,0.0
41,57731.90625,700.525146484375,13125.044921875,0.0
42,61300.078125,931.9638671875,56263.51953125,0.0
43,46670.77734375,768.117431640625,4985.966796875,0.0
44,49160.328125,1130.328125,3991.740234375,0.0
45,4226.0234375,3044.8623046875,9605.1064453125,0.0
46,10556.3876953125,623.78759765625,31388.7890625,0.0
47,14150.87109375,1155.583984375,7353.50537109375,0.0
48,1198.8614501953125,2523.3212890625,59810.6328125,0.0
49,16834.9453125,1712.69287109375,57076.171875,0.0
50,2185.751708984375,3753.9228515625,9712.513671875,0.0
51,3967.718994140625,297.76837158203125,16890.91015625,0.0
52,12221.9404296875,21.238784790039062,31795.0625,0.0
53,20716.654296875,1462.98046875,23678.05078125,0.0
54,48302.625,317.22454833984375,52673.29296875,0.0
55,4122.958984375,95.3533935546875,16879.90234375,0.0
56,21345.970703125,6201.9013671875,53305.2265625,0.0
57,307.0255126953125,713.224609375,13347.47265625,0.0
58,60201.44140625,718.97998046875,29340.08203125,0.0
59,61481.0,3335.8896484375,25646.5078125,0.0
60,18934.05078125,3004.3720703125,19694.8203125,0.0
61,56825.6171875,150.5958251953125,24603.03125,0.0
62,62616.82421875,378.34423828125,51795.4140625,0.0
63,18800.41796875,441.60546875,23796.28125,0.0
64,46919.171875,862.6689453125,55517.13671875,0.0
65,44390.8828125,46.6976318359375,3029.66064453125,0.0
66,15871.8134765625,1922.4658203125,50236.4921875,0.0
67,20110.876953125,1621.0927734375,60189.12109375,0.0
68,4787.16357421875,101.2352294921875,50844.046875,0.0
69,57598.41015625,4999.14990234375,44588.921875,0.0
70,18333.22265625,1688.40185546875,50996.5390625,0.0
71,33956.375,881.404541015625,6965.509765625,0.0
72,4651.43115234375,824.345703125,11042.158203125,0.0
73,34555.71875,1436.421875,2997.7255859375,0.0
74,56229.37109375,2126.1201171875,49814.0234375,0.0
75,46026.18359375,1155.84765625,41725.6484375,0.0
76,20736.283203125,596.81787109375,46421.40234375,0.0
77,56871.83203125,596.691162109375,14464.4130859375,0.0
78,27109.99609375,495.4766845703125,37128.38671875,0.0
79,788.589111328125,639.37060546875,51506.328125,0.0
80,30616.1171875,231.80029296875,6961.8212890625,0.0
81,62049.5625,1343.7890625,24469.716796875,0.0
82,3316.892578125,3012.5283203125,17370.7890625,0.0
83,47785.79296875,674.62353515625,46499.70703125,0.0
84,12144.3115234375,20.589035034179688,56646.55859375,0.0
85,32009.408203125,139.7950439453125,16840.66015625,0.0
86,20819.7578125,25.61279296875,39661.8125,0.0
87,27906.513671875,1071.822265625,54283.140625,0.0
88,64351.32421875,4856.5302734375,4896.6279296875,0.0
89,2109.961181640625,1996.23046875,900.457763671875,0.0
90,12232.6767578125,241.38134765625,57777.53125,0.0
91,26297.20703125,81.92724609375,26433.78125,0.0
92,30832.203125,101.924560546875,30838.185546875,0.0
93,25245.826171875,125.2220458984375,46988.640625,0.0
94,7354.62548828125,1242.970703125,18600.96484375,0.0
95,12672.2978515625,195.2757568359375,38296.55078125,0.0
96,63888.15625,1737.3984375,55636.8828125,0.0
97,31423.138671875,36.67303466796875,14841.5615234375,0.0
98,1184.1171875,1781.43359375,20338.703125,0.0
99,3618.7255859375,294.97998046875,59010.2421875,0.0
100,30724.150390625,19.364990234375,53714.296875,0.0
101,9123.7919921875,217.39065551757812,17993.783203125,0.0
102,14448.03125,1201.220703125,34393.140625,0.0
103,34753.7890625,14.228858947753906,50258.390625,0.0
104,19473.576171875,299.39801025390625,37046.66796875,0.0
105,18102.798828125,706.264404296875,24029.31640625,0.0
106,40624.95703125,686.389892578125,41618.5390625,0.0
107,49086.25,2913.318359375,56378.9453125,0.0
108,7668.4619140625,3561.81640625,37904.2578125,0.0
109,53546.27734375,4213.6416015625,7247.24755859375,0.0
110,32307.603515625,5497.171875,22668.55078125,0.0
111,32581.044921875,35.80076599121094,18331.66015625,0.0
112,37365.98828125,159.073486328125,37523.4453125,0.0
113,7420.95166015625,772.96142578125,24627.40234375,0.0
114,28107.10546875,1431.39453125,52639.37890625,0.0
115,56285.11328125,462.1431884765625,49255.48828125,0.0
116,6808.55078125,1003.91650390625,25960.978515625,0.0
117,53142.48046875,3726.0888671875,19317.384765625,0.0
118,64444.9140625,55.271484375,10641.921875,0.0
119,60949.9765625,1250.423828125,24544.84765625,0.0
120,58849.265625,81.89300537109375,19582.787109375,0.0
121,23306.482421875,501.94970703125,36911.015625,0.0
122,32721.419921875,18.1026611328125,57553.54296875,0.0
123,60116.91015625,228.52001953125,35612.83984375,0.0
124,40298.859375,4490.5126953125,43871.9296875,0.0
125,21315.962890625,4221.1533203125,42218.203125,0.0
126,63403.55078125,2784.390625,24144.1484375,0.0
127,64255.7265625,359.22119140625,40385.921875,0.0
128,56058.53125,654.0382080078125,18760.82421875,0.0
129,64789.48046875,424.57470703125,53589.80859375,0.0
130,20591.876953125,2094.6875,36863.4296875,0.0
131,19267.21484375,219.98443603515625,34238.5078125,0.0
132,52226.46484375,449.49609375,34375.5703125,0.0
133,49402.3046875,2029.74609375,8274.1015625,0.0
134,19495.732421875,1011.373046875,11490.658203125,0.0
135,19269.435546875,1196.675537109375,46666.4375,0.0
136,19983.5,1196.4013671875,53620.5703125,0.0
137,873.3472290039062,868.421630859375,4350.4384765625,0.0
138,58234.2734375,1192.43212890625,14286.388671875,0.0
139,9289.453125,1364.4365234375,21646.5703125,0.0
140,50422.36328125,1187.4990234375,43952.45703125,0.0
141,37983.296875,666.26025390625,49012.546875,0.0
142,45491.046875,37.7392578125,413.4984130859375,0.0
143,56846.12890625,182.31103515625,6348.5673828125,0.0
144,47478.28125,2947.4423828125,1497.98828125,0.0
145,37696.19140625,1439.9716796875,50046.4609375,0.0
146,1956.527587890625,917.576904296875,14181.236328125,0.0
147,49226.22265625,8.437559127807617,29353.755859375,0.0
148,53971.828125,3377.8291015625,21101.6171875,0.0
149,63097.421875,328.8828125,42296.8359375,0.0
150,64068.0625,324.879150390625,42330.703125,0.0
151,11603.67578125,213.053466796875,45575.828125,0.0
152,58551.41796875,1605.6748046875,46749.7421875,0.0
153,45395.48046875,1510.08935546875,6528.0478515625,0.0
154,14395.9140625,843.356201171875,20279.466796875,0.0
155,16696.388671875,1337.84326171875,53305.6953125,0.0
156,4704.84716796875,312.3270263671875,45029.3125,0.0
157,31139.9765625,463.0888671875,7855.87548828125,0.0
158,40436.6640625,3215.1123046875,13508.666015625,0.0
159,29917.859375,4513.9072265625,47043.375,0.0
160,57372.69921875,322.361572265625,24586.1640625,0.0
161,16542.396484375,68.88037109375,54784.265625,0.0
162,9217.8662109375,644.031494140625,8597.580078125,0.0
163,57022.81640625,1553.33447265625,14100.5595703125,0.0
164,51449.68359375,4449.23828125,57302.109375,0.0
165,7693.9208984375,2009.7158203125,31476.44921875,0.0
166,39461.78515625,318.0302734375,15363.97265625,0.0
167,46831.421875,1925.22509765625,24939.96484375,0.0
168,57410.62109375,789.30029296875,53577.4765625,0.0
169,47010.3359375,308.239990234375,44256.50390625,0.0
170,65014.515625,946.5615234375,57573.02734375,0.0
171,14029.89453125,1838.4462890625,23030.421875,0.0
172,44805.78515625,682.92919921875,3054.736328125,0.0
173,8253.6806640625,1166.27001953125,7752.27392578125,0.0
174,54402.28125,78.90139770507812,46016.4296875,0.0
175,26291.873046875,99.510009765625,20100.947265625,0.0
176,10310.9404296875,291.07568359375,7265.0546875,0.0
177,11439.4453125,288.370849609375,10018.248046875,0.0
178,8181.34716796875,198.763671875,31214.494140625,0.0
179,20756.58203125,140.563232421875,30168.1328125,0.0
180,59385.08203125,1745.4091796875,48231.03125,0.0
181,33786.21484375,1376.642578125,17499.71484375,0.0
182,4658.66845703125,401.396484375,57945.046875,0.0
183,16162.30078125,1723.3466796875,36405.0546875,0.0
184,56145.515625,932.130859375,42321.9375,0.0
185,4013.37109375,334.392333984375,28211.484375,0.0
186,44111.8125,2324.56201171875,8069.08203125,0.0
187,31791.17578125,35.36724853515625,18439.466796875,0.0
188,20831.96484375,1742.939453125,30146.81640625,0.0
189,62913.0625,30.18408203125,2667.1455078125,0.0
190,21799.9609375,956.3955078125,51035.453125,0.0
191,27696.654296875,2257.7978515625,15194.951171875,0.0
192,26562.927734375,257.0450439453125,30677.44140625,0.0
193,5407.67822265625,3165.779296875,30153.05078125,0.0
194,53120.66796875,1141.6904296875,51621.4140625,0.0
195,60615.375,662.140625,48729.5625,0.0
196,57363.921875,292.449462890625,4601.5986328125,0.0
197,40117.46875,2140.494140625,24437.310546875,0.0
198,23383.97265625,3235.49072265625,44715.953125,0.0
199,13069.1923828125,324.310546875,58645.0546875,0.0
200,62752.92578125,100.09912109375,13990.744140625,0.0
201,4565.43212890625,929.660400390625,9452.91015625,0.0
202,64615.24609375,733.95458984375,10425.4697265625,0.0
203,62192.4921875,1237.1298828125,17774.556640625,0.0
204,5717.4462890625,751.66845703125,6096.14599609375,0.0
205,13375.626953125,1881.126953125,38155.3984375,0.0
206,18397.51171875,1991.2802734375,6182.5068359375,0.0
207,14883.052734375,266.291015625,29827.98046875,0.0
208,51295.14453125,1981.0048828125,40126.890625,0.0
209,437.3626708984375,220.17529296875,36099.83203125,0.0
210,33487.0234375,687.01953125,23009.724609375,0.0
211,20665.826171875,11.055282592773438,7135.189453125,0.0
212,12953.787109375,737.8984375,54831.671875,0.0
213,59653.90625,77.547607421875,15211.501953125,0.0
214,55830.296875,342.865234375,25293.931640625,0.0
215,15032.9296875,4198.7841796875,53221.72265625,0.0
216,40751.4453125,1307.6943359375,50596.88671875,0.0
217,6023.794921875,773.08984375,4789.32763671875,0.0
218,57141.8125,1079.38037109375,46403.421875,0.0
219,40684.52734375,987.96533203125,680.6395874023438,0.0
220,22957.88671875,60.45928955078125,37699.75,0.0
221,33740.90234375,1173.80908203125,27948.3671875,0.0
222,33514.6484375,2067.373046875,16395.962890625,0.0
223,52899.89453125,5.072502136230469,53554.171875,0.0
224,49214.32421875,910.833984375,29913.232421875,0.0
225,12212.4384765625,6335.880859375,16925.46484375,0.0
226,51201.796875,531.291015625,13548.890625,0.0
227,41353.9765625,10.26959228515625,51316.6328125,0.0
228,16031.3984375,503.8582763671875,56486.1015625,0.0
229,5950.58154296875,336.7747802734375,29592.11328125,0.0
230,47481.3515625,3116.7216796875,316.14154052734375,0.0
