episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
norm_ent 19,,,,0.6381771940230837,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984,0.6385203563380984
norm_ent 20,,0.42251837205729803,0.4114148086021617,0.43237576496345836,0.43917607397758757,0.4490704768897364,0.4621970356249171,0.4702047571038832,0.4730196406690372,0.4767333579945879,0.4774496610316029,0.48197166739948943,0.48551596847398343,0.4888050583042429,0.4904892285724762,0.4918969045263046,0.4930626361166038,0.4924157089557264,0.49278391586893144,0.49405593274255843,0.49457647616465455,0.4946870438143692,0.49444573279475884,0.49440369614514085,0.49448031681060955,0.49427493590442084,0.4940340811846788,0.49397497703379506,0.4937385871985408,0.49367128073534394,0.4935767192524239,0.4932961792449988,0.4928380429533029,0.49269815299567266,0.4923733849231716,0.4920737216663309,0.49174326229227,0.49126845479370335,0.49098897134267144,0.4907392759834243,0.4904073440259362,0.49005781094463013,0.48976429838971774,0.4895213662558314,0.4892703329279033,0.48909803343833846,0.4889372357903856,0.4886720004920524,0.4883555225159637,0.48822470758217207,0.4880109891432571,0.4878348690148818,0.4876077225198204,0.48750076547837673,0.4872949932448851,0.48712101670308516,0.4868996235531501,0.4867267432280954,0.48662195222069293,0.4864094364269824,0.4862620496668901,0.486101604411293,0.48594362052150947,0.48576082553146477,0.485613200506386,0.4854740273829438,0.4853404614082506,0.48520672960443695,0.4850766229048051,0.4846070043091806,0.48447382830731134,0.4844043625300176,0.48433726799933097,0.48427469033975257,0.4842138972289288
norm_ent 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 30,,0.527581790222872,0.527581790222872,0.5340297448743921,0.5449647845807326,0.5621510908609094,0.5711210998351979,0.570225010294736,0.5764465608970982,0.5819800543101127,0.5817463152499115,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725,0.5852771020432725
norm_ent 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
norm_ent 32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
